word	freq
blesses	11
blessing	11
blind	26
blinder	26
block	84
blocks	84
blocked	27
blocking	27
bloke	16
blokes	16
blood	102
bloods	102
bloodiest	53
bloody	73
blow	75
blows	75
blew	51
blowed	51
blowing	51
blown	51
blue	117
blues	25
board	162
boards	162
boast	12
boasted	12
boasting	12
boasts	12
boat	74
boats	74
bob	40
bodies	325
body	325
boil	12
boiled	12
boiling	12
boils	12
bold	14
bolder	14
boldest	14
bolt	12
bolts	12
bomb	39
bombs	39
bomber	11
bombers	11
bombing	11
bombings	11
bond	46
bonds	36
bone	47
bones	47
bonus	18
bonuses	18
book	395
books	395
booked	21
booking	35
bookings	14
booklet	12
booklets	12
boom	17
booms	17
boost	27
boosted	17
boosting	17
boosts	17
boot	41
boots	41
border	52
borders	52
bored	14
boring	16
born	82
borough	24
boroughs	24
borrow	31
borrowed	31
borrowing	44
borrows	31
borrowings	13
bosnia	10
boss	40
bosses	40
both	688
bother	42
bothered	42
bothering	42
bothers	42
bottle	59
bottles	59
bottom	78
bottoms	60
bounce	13
bounced	13
bounces	13
bouncing	13
bounded	23
bounding	23
bounds	23
boundaries	44
boundary	44
bow	28
bows	28
bowed	14
bowing	14
bowel	15
bowels	15
bowl	30
bowls	30
bowler	10
bowlers	10
box	114
boxes	114
boxing	12
boy	213
boys	213
boyfriend	13
boyfriends	13
b.r.	13
br	13
br.	13
bracket	10
brackets	10
bradford	12
bradfords	12
brain	57
brains	57
brake	11
brakes	11
branch	85
branches	85
brand	21
brands	21
brass	16
brasses	16
brave	18
braver	18
bravest	18
brazil	17
brazils	17
breach	35
breaches	35
bread	38
breads	38
break	236
breaks	236
breaking	193
broke	193
broken	222
breakdown	16
breakdowns	16
breakfast	45
breakfasts	45
breast	29
breasts	29
breath	53
breaths	53
breathe	35
breathed	35
breathes	35
breathing	35
breed	36
breeds	36
bred	17
breeding	36
breeze	15
breezes	15
breweries	10
brewery	10
brian	45
brick	28
bricks	28
bride	12
brides	12
bridge	66
bridges	66
brief	49
briefer	49
briefest	49
briefly	33
brigade	13
brigades	13
bright	62
brighter	62
brightest	62
brighton	15
brilliant	35
bring	439
bringing	439
brings	439
brought	439
bristol	29
britain	251
british	357
broad	65
broader	65
broadest	65
broadcast	12
broadcasts	12
broadcasting	16
broadly	16
brochure	13
brochures	13
broker	11
brokers	11
bronze	17
bronzes	17
brethren	123
brother	123
brothers	123
brow	12
brows	12
brown	83
browner	45
bruce	17
bruces	17
brush	38
brushes	38
brushed	21
brushing	21
brussels	15
bucket	14
buckets	14
budget	94
budgets	94
build	230
building	459
builds	230
built	230
builder	19
builders	19
buildings	229
bulb	10
bulbs	10
bulk	21
bull	12
bulls	12
bullet	13
bullets	13
bunch	14
bunches	14
burden	30
burdens	30
bureau	19
bureaus	19
bureaux	19
bureaucracies	15
bureaucracy	15
burial	11
burials	11
burn	53
burned	53
burning	66
burns	53
burnt	53
burst	25
bursting	25
bursts	25
buried	31
buries	31
bury	31
burying	31
bus	68
buses	68
bush	46
bushes	17
business	394
businesses	394
businessman	20
businessmen	20
busier	53
busiest	53
busy	53
but	4599
butler	11
butter	21
butters	21
butterflies	11
butterfly	11
button	26
buttons	26
bought	262
buy	262
buying	262
buys	262
buyer	44
buyers	44
by	5128
by means of	16
by no means	16
by now	22
by way of	14
bye	17
c / c	147
cs	147
c	41
c.	41
c.a.	15
ca	15
cab	17
cabs	17
cabin	13
cabins	13
cabinet	69
cabinets	69
cable	25
cables	25
cage	13
cages	13
cake	38
cakes	38
calcium	13
calculate	41
calculated	41
calculates	41
calculating	41
calculation	23
calculations	23
calendar	13
calendars	13
calf	11
calves	11
california	22
call	627
calls	627
called	535
calling	535
calm	27
calmer	14
calmed	13
calming	13
calms	13
cambridge	36
camera	39
cameras	39
camp	43
camps	43
campaign	119
campaigns	119
campaigned	14
campaigning	14
campbell	16
campbells	16
can	2687
cans	15
ca~	2672
canada	29
canadian	14
canal	26
canals	26
cancel	23
cancelled	23
cancelling	23
cancels	23
cancer	47
cancers	47
candidate	80
candidates	80
candle	16
candles	16
canterbury	12
canvas	14
canvases	14
cap	26
caps	26
capabilities	18
capability	18
capable	49
capacities	63
capacity	63
capital	138
capitals	138
capitalism	19
capitalist	21
captain	56
captains	56
capture	31
captured	31
captures	31
capturing	31
car	353
cars	353
caravan	13
caravans	13
carbon	25
carbons	25
card	96
cards	96
cardiff	18
care	279
cares	279
cared	81
caring	81
career	94
careers	94
careful	52
carefully	72
carer	17
carers	17
cargo	10
cargoes	10
carl	11
carol	10
caroline	19
carpet	34
carpets	34
carriage	24
carriages	24
carrie	12
carrier	19
carriers	19
carried	313
carries	313
carry	313
carrying	313
cart	12
carts	12
carter	13
carters	13
carve	12
carved	12
carves	12
carving	12
case	613
cases	613
cash	82
cassette	11
cassettes	11
cast	48
casts	48
casting	37
castle	53
castles	53
casual	18
casualties	17
casualty	17
cat	55
cats	55
catalogue	30
catalogues	30
catch	158
catches	158
catching	147
caught	147
categories	67
category	67
cater	18
catered	18
catering	18
caters	18
cathedral	27
cathedrals	27
catherine	16
catholic	47
catholics	15
cattle	26
causal	12
cause	305
causes	305
caused	206
causing	206
caution	13
cautions	13
cautious	11
cave	16
caves	16
cd	14
cds	14
cease	30
ceased	30
ceases	30
ceasing	30
ceiling	27
ceilings	27
celebrate	35
celebrated	35
celebrates	35
celebrating	35
celebration	21
celebrations	21
cell	131
cells	131
census	12
censuses	12
central	193
centre	298
centres	298
centred	16
centring	16
centuries	233
century	233
ceremonies	22
ceremony	22
certain	220
certainly	186
certainties	15
certainty	15
certificate	37
certificates	37
ch	12
ch.	12
chain	50
chains	50
chair	108
chairs	108
chaired	11
chairing	11
chairman	116
chairmen	116
challenge	103
challenges	103
challenged	40
challenging	40
chamber	36
chambers	36
champagne	20
champagnes	20
champion	47
champions	47
championship	49
championships	49
chance	161
chances	161
chancellor	37
chancellors	37
change	657
changes	657
changed	273
changing	297
channel	58
channels	58
chaos	16
chap	20
chaps	20
chapel	23
chapels	23
chapman	11
chapmans	11
chapter	169
chapters	169
character	125
characters	125
characterise	14
characterised	14
characterises	14
characterising	14
characteristic	68
characteristics	51
characterize	13
characterized	13
characterizes	13
characterizing	13
charge	218
charges	218
charged	69
charging	69
charities	45
charity	45
charles	91
charlie	28
charlotte	16
charm	15
charms	15
charming	14
chart	26
charts	26
charter	25
charters	25
chase	21
chased	21
chases	21
chasing	21
chat	13
chats	13
chatted	13
chatting	13
cheap	68
cheaper	68
cheapest	68
check	127
checks	127
checked	100
checking	100
cheek	35
cheeks	35
cheer	12
cheered	12
cheering	12
cheerful	12
cheese	30
cheeses	30
chelsea	15
cheltenham	14
chemical	66
chemicals	33
chemist	12
chemists	12
chemistry	20
cheque	29
cheques	29
cheshire	11
cheshires	11
chest	40
chests	40
chester	11
chew	10
chewed	10
chewing	10
chews	10
chicago	11
chicken	25
chickens	25
chief	122
chiefs	47
child	710
children	710
childhood	29
childhoods	29
chin	16
chins	16
china	46
chinese	40
chip	36
chips	36
chocolate	24
chocolates	24
choice	138
choices	138
choir	12
choirs	12
choose	168
chooses	168
choosing	168
chose	168
chosen	179
chop	10
chopped	10
chopping	10
chops	10
chord	10
chords	10
chorus	11
choruses	11
chris	45
christ	47
christs	47
christian	83
christians	21
christianity	18
christie	12
christine	11
christmas	88
christopher	23
chronic	17
church	238
churches	238
churchill	14
cigarette	36
cigarettes	36
cinema	22
cinemas	22
circle	50
circles	50
circuit	33
circuits	33
circular	13
circulate	14
circulated	14
circulates	14
circulating	14
circulation	15
circulations	15
circumstance	110
circumstances	110
cite	26
cited	26
cites	26
citing	26
citizen	47
citizens	47
cities	275
city	275
civic	10
civil	87
civilian	12
claim	307
claims	307
claimed	189
claiming	189
claire	11
clare	21
clarified	14
clarifies	14
clarify	14
clarifying	14
clarity	11
clark	17
clarke	21
clarkes	21
clash	18
clashes	18
class	241
classes	241
classic	42
classics	16
classical	33
classification	19
classifications	19
classified	16
classifies	16
classify	16
classifying	16
classroom	28
classrooms	28
claudia	11
clause	49
clauses	49
clay	17
clays	17
clean	92
cleaner	64
cleanest	52
cleaned	40
cleaning	52
cleans	40
cleaners	12
clear	298
clearer	239
clearest	239
cleared	59
clearing	59
clears	59
clearly	153
clergy	14
clerk	26
clerks	26
cleveland	17
clever	25
cleverer	25
cleverest	25
client	110
clients	110
cliff	20
cliffs	20
climate	31
climates	31
climb	57
climbed	57
climbing	57
climbs	57
cling	17
clinging	17
clings	17
clung	17
clinic	22
clinics	22
clinical	30
clinton	20
clintons	20
clive	10
clock	33
clocks	33
close	340
closer	180
closest	154
closes	144
closed	153
closing	133
closely	55
closure	25
closures	25
cloth	22
cloths	22
clothes	73
clothing	21
cloud	37
clouds	37
club	202
clubs	202
clue	20
clues	20
cluster	15
clusters	15
clutch	13
clutched	13
clutches	13
clutching	13
cm	22
cm.	22
c.o.	46
co/co	46
co.	46
co-operation	35
co-ordinate	10
co-ordinated	10
co-ordinates	10
co-ordinating	10
coach	37
coaches	37
coal	53
coals	53
coalition	26
coalitions	26
coast	49
coasts	49
coastal	14
coat	42
coats	42
code	65
codes	65
coffee	68
coffees	68
coffin	16
coffins	16
cognitive	12
coherent	11
coin	26
coins	26
coincide	16
coincided	16
coincides	16
coinciding	16
cold	128
colder	103
coldest	103
colds	25
colin	25
colitis	10
collaboration	14
collaborations	14
collapse	47
collapses	47
collapsed	24
collapsing	24
collar	16
collars	16
colleague	72
colleagues	72
collect	80
collected	80
collecting	80
collects	80
collection	96
collections	96
collective	24
collector	19
collectors	19
college	126
colleges	126
collins	11
colonel	20
colonels	20
colonial	15
colonies	21
colony	21
colour	168
colours	168
coloured	31
colouring	12
colourful	11
column	45
columns	45
combination	54
combinations	54
combine	59
combined	76
combines	59
combining	59
came	1512
come	1512
comes	1512
cometh	1512
comin'	1512
coming	1523
comedies	16
comedy	16
comfort	38
comforts	38
comforted	10
comforting	10
comfortable	40
command	60
commands	60
commanded	19
commanding	19
commander	24
commanders	24
commence	15
commenced	15
commences	15
commencing	15
comment	122
comments	122
commented	47
commenting	47
commentaries	10
commentary	10
commentator	14
commentators	14
commerce	16
commercial	79
commission	128
commissions	111
commissioned	17
commissioning	17
commissioner	24
commissioners	24
commit	68
commits	68
committed	68
committing	68
commitment	70
commitments	70
committee	217
committees	217
commodities	15
commodity	15
common	182
commonly	26
commons	33
commonwealth	18
communicate	25
communicated	25
communicates	25
communicating	25
communication	96
communications	96
communist	55
communists	13
communities	272
community	272
compact	14
companion	25
companions	25
companies	579
company	579
comparable	19
comparative	14
comparatively	12
compare	130
compared	130
compares	130
comparing	130
comparison	46
comparisons	46
compatible	12
compel	12
compelled	12
compelling	12
compels	12
compensate	14
compensated	14
compensates	14
compensating	14
compensation	32
compensations	32
compete	32
competed	32
competes	32
competing	32
competence	16
competences	16
competent	12
competition	101
competitions	101
competitive	37
competitor	22
competitors	22
compile	14
compiled	14
compiles	14
compiling	14
complain	44
complained	44
complaining	44
complains	44
complaint	45
complaints	45
complete	194
completed	100
completes	100
completing	100
completely	86
completion	25
completions	25
complex	100
complexes	28
complexities	22
complexity	22
compliance	13
complicated	29
complication	12
complications	12
complied	21
complies	21
comply	21
complying	21
component	58
components	58
compose	24
composed	24
composes	24
composing	24
composer	15
composers	15
composition	27
compositions	27
compound	20
compounds	20
comprehensive	35
comprise	34
comprised	34
comprises	34
comprising	34
compromise	19
compromises	19
compulsory	17
computer	174
computers	174
computing	19
conceal	17
concealed	17
concealing	17
conceals	17
concede	18
conceded	18
concedes	18
conceding	18
conceive	18
conceived	18
conceives	18
conceiving	18
concentrate	71
concentrated	71
concentrates	71
concentrating	71
concentration	60
concentrations	60
concept	91
concepts	91
conception	23
conceptions	23
conceptual	10
concern	151
concerns	151
concerned	188
concerning	61
concert	26
concerts	26
concession	18
concessions	18
conclude	56
concluded	56
concludes	56
concluding	56
conclusion	75
conclusions	75
concrete	18
condemn	23
condemned	23
condemning	23
condemns	23
condition	237
conditions	237
conduct	81
conducted	52
conducting	52
conducts	52
confer	13
conferred	13
conferring	13
confers	13
conference	112
conferences	112
confess	16
confessed	16
confesses	16
confessing	16
confidence	71
confidences	71
confident	32
confidential	11
configuration	13
configurations	13
confine	27
confined	27
confines	27
confining	27
confirm	87
confirmed	87
confirming	87
confirms	87
confirmation	12
confirmations	12
conflict	70
conflicts	70
conform	13
conformed	13
conforming	13
conforms	13
confront	24
confronted	24
confronting	24
confronts	24
confrontation	12
confrontations	12
confuse	13
confused	32
confuses	13
confusing	13
confusion	30
confusions	30
congregation	12
congregations	12
congress	56
congresses	56
connect	44
connected	44
connecting	44
connects	44
connection	56
connections	56
conscience	15
consciences	15
conscious	31
consciousness	26
consciousnesses	26
consensus	18
consent	34
consents	34
consequence	79
consequences	79
consequently	25
conservation	39
consider	289
considered	289
considering	289
considers	289
considerable	96
considerably	29
consideration	78
considerations	78
consist	64
consisted	64
consisting	64
consists	64
consistent	31
consistently	16
conspiracies	12
conspiracy	12
constable	22
constables	22
constance	12
constant	47
constantly	31
constituencies	27
constituency	27
constituent	17
constituents	17
constitute	39
constituted	39
constitutes	39
constituting	39
constitution	42
constitutions	42
constitutional	31
constraint	26
constraints	26
construct	44
constructed	44
constructing	44
constructs	44
construction	66
constructions	66
consult	28
consulted	28
consulting	28
consults	28
consultant	32
consultants	32
consultation	29
consultations	29
consume	19
consumed	19
consumes	19
consuming	19
consumer	67
consumers	67
consumption	33
contact	140
contacts	140
contacted	57
contacting	57
contain	181
contained	181
containing	181
contains	181
container	16
containers	16
contemplate	17
contemplated	17
contemplates	17
contemplating	17
contemporary	54
contemporaries	10
contempt	13
contempts	13
content	91
contents	75
contest	17
contests	17
context	98
contexts	98
continent	19
continents	19
continental	17
continually	13
continue	283
continued	304
continues	283
continuing	317
continuities	14
continuity	14
continuous	26
contract	175
contracts	175
